Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
37,1.0,0.0,0.0,278.0,17.0,15.0,626.0,0.0,7.70558541270824,0.0,0.0,121.31257557868958,,,,,,,,,,,,,,,,,,,,,3.4744010811377892,2.6293182347178106,7.668799326344539,0.10426877419539493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,301.0,18.0,23.0,649.0,0.0,16.33107972582071,0.0,0.0,123.95017123222351,,,,,,,,,,,,,,,,,,,,,7.664767040627559,4.990748305548327,16.187148193124337,0.4303928008024063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,318.0,19.0,17.0,666.0,0.0,9.842123174794494,0.0,0.0,125.78943729400635,,,,,,,,,,,,,,,,,,,,,3.8962386040462245,3.4893921455016725,9.795468259576603,0.017876716548655636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,333.0,20.0,15.0,681.0,0.0,7.146912187848787,0.0,0.0,127.4456558227539,,,,,,,,,,,,,,,,,,,,,2.563270336583107,2.6212609830799893,7.122701412924477,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,17.0,1.0,17.0,698.0,0.0,11.544411260343061,0.0,0.0,184.3014166355133,,,,,,,,,,,,,,,,,,,,,5.524907902345001,3.6068153356662846,11.473423198977954,0.6171903162585191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,37.0,2.0,20.0,718.0,0.0,12.672444857610552,0.0,0.0,186.64923429489136,,,,,,,,,,,,,,,,,,,,,5.321501361532951,4.274404332727379,12.591184608412112,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,57.0,3.0,20.0,738.0,0.0,12.730844775005648,0.0,0.0,188.68764638900757,,,,,,,,,,,,,,,,,,,,,5.985006123488528,3.893612646741863,12.636404825782622,0.40465236227775714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,80.0,4.0,23.0,761.0,0.0,13.804978779433464,0.0,0.0,191.09165453910828,,,,,,,,,,,,,,,,,,,,,5.319395115779999,4.795231276243345,13.710039059851166,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,95.0,5.0,15.0,776.0,0.0,7.351643591576822,0.0,0.0,192.909095287323,,,,,,,,,,,,,,,,,,,,,2.7793393241423936,2.628983503498078,7.324595367855028,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,111.0,6.0,16.0,792.0,0.0,6.737659211434975,0.0,0.0,194.79740834236145,,,,,,,,,,,,,,,,,,,,,2.4591472255798927,2.4708194337546527,6.711729603302698,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,125.0,7.0,14.0,806.0,0.0,6.271406095212818,0.0,0.0,196.32274508476257,,,,,,,,,,,,,,,,,,,,,2.849423190358327,2.0914009848779567,6.243995918388659,0.20419240888257173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,152.0,8.0,27.0,833.0,0.0,20.519665935806877,0.0,0.0,199.15098071098328,,,,,,,,,,,,,,,,,,,,,9.189391341146468,6.674452030731821,20.31215637017991,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,173.0,9.0,21.0,854.0,0.0,12.902562420623106,0.0,0.0,201.47276210784912,,,,,,,,,,,,,,,,,,,,,5.446401808653421,4.219490862004706,12.813802774387389,0.08519076576088391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
